Grid_txt,Latitude,Longitude
1010,39.2578,-78.2036
1011,39.2574,-78.185
1012,39.2569,-78.1663
1013,39.2565,-78.1477
1014,39.256,-78.1291
1015,39.2556,-78.1104
1016,39.2551,-78.0918
1017,39.2546,-78.0732
1018,39.2542,-78.0546
1019,39.2537,-78.0359
1020,39.2532,-78.0173
1021,39.2527,-77.9987
1022,39.2467,-77.7752
1023,39.2462,-77.7566
1024,39.2457,-77.7379
1025,39.2452,-77.7193
1026,39.2447,-77.7007
1027,39.2441,-77.6821
1028,39.2436,-77.6635
1029,39.2431,-77.6449
1030,39.2425,-77.6262
1031,39.242,-77.6076
1032,39.2414,-77.589
1033,39.2409,-77.5704
1034,39.2403,-77.5518
1035,39.2398,-77.5332
1036,39.2771,-78.408
1037,39.2766,-78.3894
1038,39.2762,-78.3707
1039,39.2758,-78.3521
1040,39.2754,-78.3335
1041,39.275,-78.3148
1042,39.2745,-78.2962
1043,39.2741,-78.2776
1044,39.2737,-78.2589
1045,39.2732,-78.2403
1046,39.2728,-78.2216
1047,39.2723,-78.203
1048,39.2719,-78.1844
1049,39.2714,-78.1657
1050,39.271,-78.1471
1051,39.2705,-78.1285
1052,39.27,-78.1098
1053,39.2696,-78.0912
1054,39.2691,-78.0726
1055,39.2686,-78.0539
1056,39.2682,-78.0353
1057,39.2612,-77.7745
1058,39.2607,-77.7559
1059,39.2602,-77.7373
1060,39.2597,-77.7187
1061,39.2591,-77.7
1062,39.2586,-77.6814
1063,39.2581,-77.6628
1064,39.2575,-77.6442
1065,39.257,-77.6255
1066,39.2565,-77.6069
1067,39.2559,-77.5883
1068,39.2554,-77.5697
1069,39.2548,-77.5511
1070,39.2543,-77.5324
1071,39.2911,-78.3888
1072,39.2907,-78.3702
1073,39.2903,-78.3516
1074,39.2899,-78.3329
1075,39.2894,-78.3143
1076,39.289,-78.2956
1077,39.2886,-78.277
1078,39.2881,-78.2584
1079,39.2877,-78.2397
